,,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
payment_year,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,UnRedeemed
county,vocationaluse,,,,,,,,,,,,,,
Solano County,Bus - Heavy Duty/Transit,,,,,,,,252000.0,,,330000.0,,,1530000.0
Solano County,Bus - Medium Duty,,,,,,,,,,,90000.0,,,
Solano County,Bus - School,,,,,,,,,,,1100000.0,220000.0,,1228000.0
Solano County,Misc / other,,,,,,,,,,,,90000.0,,240000.0
Solano County,Panel/ Step/ Cargo Van,,30000.0,,,,,,,,,,,,1045500.0
Solano County,Truck - Box,,,,,,,69000.0,,78852.0,,,,,510000.0
Solano County,Truck - Tractor,700000.0,210000.0,,,,,,,,,,,,
Solano County,※ Infrastructure,,,,,,,,,,,15300.0,,,
Sonoma County,Bus - Heavy Duty/Transit,,,,,,,,,,121000.0,270000.0,,,1284750.0
Sonoma County,Bus - School,,,,,,,,,,440000.0,440000.0,220000.0,,
Sonoma County,Misc / other,,,,,,,,,,,15000.0,,,60000.0
Sonoma County,Panel/ Step/ Cargo Van,,45000.0,36000.0,,,,,,,,,,,2890000.0
Sonoma County,Truck - Box,,,,25000.0,46000.0,138000.0,23000.0,87000.0,23000.0,30000.0,,,,
Sonoma County,Truck - Tractor,,75000.0,105000.0,90000.0,,,,,,,,,,
Stanislaus County,Bus - Medium Duty,,,,,,,,,,,,,,450000.0
Stanislaus County,Bus - School,,,,,,,,,,,,,,10260000.0
Stanislaus County,Misc / other,,,,,,,,,,,12000.0,51000.0,,
Stanislaus County,Panel/ Step/ Cargo Van,,35000.0,100000.0,810000.0,,,100000.0,,,,530000.0,,,1275000.0
Stanislaus County,Truck - Box,25000.0,,,22000.0,92000.0,23000.0,,,,,,,,
Stanislaus County,Truck - Tractor,,,,,,,,,175000.0,350000.0,165000.0,,,264000.0
Stanislaus County,※ Infrastructure,,,,,,,,,,48975.0,,,,
Sutter County,Panel/ Step/ Cargo Van,,,,,,,,,,,,400000.0,,
Sutter County,Truck - Tractor,,75000.0,,,,,,,,145850.0,,,,600000.0
Sutter County,※ Infrastructure,,,,,,,,,,,6000.0,,17089.0,
Tulare County,Bus - Heavy Duty/Transit,,,,,,,,,,,,,,828000.0
